Q1_1,Q1_2,Q1_3,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16A,Q17A,Q18A,Q19A,Q16B,Q17B,Q18B,Q19B,Q20_1,Q20_2,Q20_3,Q20_4,Q22_1,Q22_2,Q22_3,Q22_4,Q22_5,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q21_7,Q23_1,Q23_2,Q23_3,Q23_4,Q23_5,Q23_6,Q24_1,Q24_2,Q24_3,Q24_4,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q25_6,Q25_7,Q25_8,Q26,Q26_5_TEXT,Q27,Q28,Q29,Q30,Q30_7_TEXT,Q31,Q31_8_TEXT,Q32,Q33
Agree,Agree,Neutral,Somewhat similar,"Not sure whatt gene drive is , but the other 2 are ways to alter the construction of a gene",Uncomfortable,"Nothing has been done to determine what are the long term impacts of the change, or what was he original function of the shoulders.",Uncomfortable,Less comfortable with interchanging two different vegtables,Very uncomfortable,No idea what the unintended consequences will turn out to be.,Very uncomfortable,Is the milk safe for kids?,Uncomfortable,No idea of what other changes we are making to the wheat.,Uncomfortable,Same objection,,,,,I prefer not to answer this question because I don't have information on who owns or controls these technologies,,I prefer not to answer this question because it doesn't discuss other ways of conserving biodiversity,,Disagree,Disagree,Disagree,Agree,Agree,Neutral,Neutral,Disagree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Disagree,Disagree,Strongly disagree,Neutral,Disagree,Agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Agree,Male,,1947,"Masters (MA, MS, MBA, Med)",Very liberal,White,,Retired,,Never,"$20,000-$30,000"
Agree,Agree,Agree,Somewhat different,,Comfortable,,Neither comfortable nor uncomfortable,,Neither comfortable nor uncomfortable,,Neither comfortable nor uncomfortable,,Neither comfortable nor uncomfortable,,Neither comfortable nor uncomfortable,,,,,,"A small decrease in production of gene-edited crops, in exchange for a small increase in pesticide use
 ",,"A large decrease in use of gene-edited crops, in exchange for a large loss of biodiversity
 ",,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Neutral,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,"Strongly agree
","Strongly agree
",Strongly disagree,Strongly disagree,"Strongly agree
",Strongly disagree,Strongly disagree,Strongly disagree,Male,,1948,"Doctorate (PhD or EdD) or Professional (MD, JD, DVM, DDS)",Liberal,White,,Working for pay,,Once a week,"Greater than $100,000"
Agree,Agree,Disagree,Somewhat similar,Not too familiar with the science terminology so it sounds similar,Neither comfortable nor uncomfortable,I’m not sure how safe this is to eat,Neither comfortable nor uncomfortable,I don’t think we have any evidence of long term health effects to be comfortable,Comfortable,Sounds like a necessary evil that we need to feed everyone,Comfortable,With our overpopulation it seems necessary so im okay with it,Comfortable,It seems necessary at this point,Comfortable,Its making them stronger so why not,"A large increase in production of gene-edited crops in exchange for a large decrease in pesticide use
 ",I don’t want pesticides in my food because we know for sure thats bad,"A small decrease in use of gene-edited crops, in exchange for a small loss of biodiversity
 ",Seems like the most natural way of handling the situation,,,,,Neutral,Neutral,Neutral,Agree,Neutral,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Neutral,Agree,Neutral,Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Disagree,Neutral,Neutral,Don't know/not sure,Agree,Agree,Don't know/not sure,Agree,Male,,1998,"Bachelors (BA, BS, AB)",Moderate,East Asian,,"Going to school,Looking for work",,Never,"$30,000-$40,000"
Agree,Strongly disagree,Strongly disagree,Somewhat different,3 different processes and procedures,Very uncomfortable,Don't fix the great taste of a heirloom tomato!,Don't know/ not sure,"Interesting, is it actually a sweet tomato",Very uncomfortable,Inset hornless gene not right were born with horns!,Very uncomfortable,Just leave well enough alone!,Very comfortable,Sounds good with wheat,Don't know/not sure,"Not sure, how to figure this one out!",,,,,"A small increase in production of gene-edited crops in exchange for a small decrease in pesticide use
 ",,I prefer not to answer this question because I don't have information on who owns or controls these technologies,,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Don't know/not sure,Neutral,Agree,Agree,Agree,Disagree,Strongly agree,Strongly agree,Neutral,Don't know/ not sure,Strongly agree,Disagree,Don't know/not sure,Agree,Disagree,Don't know/not sure,Disagree,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Strongly disagree,"Strongly agree
",Agree,Don't know/not sure,"Strongly agree
",Don't know/not sure,Neutral,Agree,Female,,1965,Associates (2-year degree),Conservative,White,,Working for pay,,Never,"$20,000-$30,000"
Agree,Neutral,Strongly disagree,Somewhat different,They have different ways of trying to change the gene process.,Uncomfortable,"I don't like to ""mess with Mother Nature""  God has made things the way they are.",Very uncomfortable,I want my tomato to be a tomato not a tomato/beet.,Uncomfortable,I am afraid that it could bring other things with it that wouldn't be a good thing.,Very uncomfortable,I want things to be natural as long as there isn't a need for change.,Uncomfortable,I just don't like messing with the natural way of plants,Uncomfortable,I still feel the same way.,,,,,I prefer not to answer this question because I don't have information on who owns or controls these technologies,,I prefer not to answer this question because it doesn't discuss other ways of conserving biodiversity,,Don't know/not sure,Agree,Don't know/not sure,Strongly agree,Strongly agree,Disagree,Don't know/not sure,Agree,Don't know/not sure,Disagree,Strongly agree,Don't know/ not sure,Disagree,Don't know/ not sure,Disagree,Agree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Neutral,Don't know/not sure,Disagree,Don't know/not sure,Strongly disagree,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Neutral,Female,,1938,High school diploma or GED,Conservative,White,,Retired,,More than once a week,"$30,000-$40,000"
Strongly agree,Strongly disagree,Strongly disagree,Somewhat different,seem different because of the wording ,Very uncomfortable,losing the taste and flavor means it is no longer the same thing!,Very comfortable,"again not the same thing, tomato and sugar beet are two different things",Neither comfortable nor uncomfortable,not sure what to think,Neither comfortable nor uncomfortable,not sure really,Comfortable,seems ok as long as doesn't causes side effects to humans,Neither comfortable nor uncomfortable,"i guess it is ok, but not sure why blueberries it is required",,,,,I prefer not to answer this question because I don't have information on who owns or controls these technologies,,"A large increase in production of gene-edited crops in exchange for large improvements to biodiversity
 ",,Agree,Agree,Disagree,Disagree,Strongly agree,Agree,Agree,Agree,Neutral,Strongly agree,Agree,Neutral,Strongly agree,Neutral,Strongly agree,Neutral,Don't know/not sure,Disagree,Strongly disagree,Neutral,Don't know/not sure,Neutral,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,"Strongly agree
",Agree,"Strongly agree
",Don't know/not sure,Don't know/not sure,Female,,1983,"Bachelors (BA, BS, AB)",Very liberal,White,,Working for pay,,"Rarely
","$40,000-$50,000"
Strongly agree,Strongly agree,Disagree,Somewhat similar,,Uncomfortable,,Uncomfortable,,Neither comfortable nor uncomfortable,,Uncomfortable,,Uncomfortable,,Uncomfortable,,,,,,"A small increase in production of gene-edited crops in exchange for a small decrease in pesticide use
 ",,"A small decrease in use of gene-edited crops, in exchange for a small loss of biodiversity
 ",,Disagree,Neutral,Strongly disagree,Disagree,Agree,Disagree,Agree,Agree,Neutral,Strongly agree,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Disagree,Neutral,Agree,Disagree,Agree,Strongly agree,Neutral,Neutral,Agree,Disagree,Agree,"Strongly agree
",Neutral,Agree,Neutral,Neutral,Agree,Female,,1980,"Bachelors (BA, BS, AB)",Moderate,South Asian,,Working for pay,,Never,I prefer not to say
Agree,Disagree,Disagree,Somewhat similar,,Uncomfortable,,Very uncomfortable,,Uncomfortable,,Uncomfortable,,Uncomfortable,,Uncomfortable,,,,,,I prefer not to answer this question because it doesn't discuss other ways of avoiding pesticide use,,I prefer not to answer this question because it doesn't discuss other ways of conserving biodiversity,,Agree,Agree,Disagree,Strongly agree,Agree,Neutral,Don't know/not sure,Neutral,Agree,Agree,Disagree,Disagree,Agree,Agree,Don't know/ not sure,Disagree,Neutral,Don't know/not sure,Don't know/not sure,Don't know/not sure,Disagree,Agree,Agree,Neutral,Neutral,Agree,Disagree,Agree,Don't know/not sure,Don't know/not sure,Agree,Don't know/not sure,Agree,Agree,Male,,1950,"Masters (MA, MS, MBA, Med)",Liberal,White,,"Working for pay,Other (add details here)",Self employed ,Never,"Greater than $100,000"
Agree,Neutral,Strongly disagree,Somewhat similar,,Comfortable,,Comfortable,,Comfortable,,Neither comfortable nor uncomfortable,,Comfortable,,Comfortable,,,,,,"A large increase in production of gene-edited crops in exchange for a large decrease in pesticide use
 ",,"A large increase in production of gene-edited crops in exchange for large improvements to biodiversity
 ",,Agree,Agree,Disagree,Neutral,Disagree,Disagree,Agree,Agree,Disagree,Strongly agree,Disagree,Agree,Strongly agree,Agree,Strongly agree,Disagree,Agree,Disagree,Disagree,Disagree,Neutral,Disagree,Agree,Agree,Disagree,Neutral,Agree,Agree,Neutral,Strongly disagree,Disagree,Disagree,Disagree,Strongly disagree,Male,,1970,High school diploma or GED,Liberal,White,,"Unable to work, differently abled",,Never,"$30,000-$40,000"
Agree,Disagree,Strongly disagree,Don't know/not sure,,Very comfortable,Would love to get more flavourful tomatoes,Very comfortable,Can't see a problem,Very uncomfortable,Already don't care for how cattle are farmed.,Very uncomfortable,Don't like the way dairy cattle are yreated,Comfortable,Better crops,Comfortable,Don't see a problem with altering to improve yield or stamina of product,,,,,"A large increase in production of gene-edited crops in exchange for a large decrease in pesticide use
 ",I don't know the science but pesticides are so deadly!,"A large increase in production of gene-edited crops in exchange for large improvements to biodiversity
 ",,Agree,Agree,Neutral,Neutral,Don't know/not sure,Disagree,Don't know/not sure,Disagree,Disagree,Strongly agree,Disagree,Disagree,Agree,Agree,Strongly agree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Don't know/not sure,Strongly disagree,Agree,Strongly agree,Disagree,Agree,Agree,Disagree,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Disagree,Female,,1944,"Some college, no degree",Liberal,White,,Retired,,Never,"$30,000-$40,000"
